id,Name,Status,Species,Type,Gender,Origin,Location,Image,No_of_episode
387,Zarbadar's Mytholog,unknown,Mythological Creature,Mytholog,Female,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/387.jpeg,1
388,Zeep Xanflorp,Alive,Humanoid,Microverse inhabitant,Male,Rick's Battery Microverse,Rick's Battery Microverse,https://rickandmortyapi.com/api/character/avatar/388.jpeg,1
389,Zeta Alpha Rick,Dead,Human,,Male,unknown,Rick's Memories,https://rickandmortyapi.com/api/character/avatar/389.jpeg,4
390,Zick Zack,Dead,Alien,Floop Floopian,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/390.jpeg,1
391,Uncle Steve,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/391.jpeg,1
392,Bearded Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/392.jpeg,2
393,Roy,Alive,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmortyapi.com/api/character/avatar/393.jpeg,1
394,Davin,Dead,Cronenberg,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/394.jpeg,2
395,Greebybobe,Alive,Alien,Greebybobe,unknown,Girvonesk,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/395.jpeg,4
396,Scary Teacher,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/396.jpeg,1
397,Fido,Alive,Animal,Dog,Male,Snuffles' Dream,Snuffles' Dream,https://rickandmortyapi.com/api/character/avatar/397.jpeg,1
398,Accountant dog,Alive,Animal,Dog,Male,Snuffles' Dream,Snuffles' Dream,https://rickandmortyapi.com/api/character/avatar/398.jpeg,1
399,Tiny-persons advocacy group lawyer,Alive,Mythological Creature,Giant,Male,Giant's Town,Giant's Town,https://rickandmortyapi.com/api/character/avatar/399.jpeg,1
400,Giant Judge,Alive,Mythological Creature,Giant,Male,Giant's Town,Giant's Town,https://rickandmortyapi.com/api/character/avatar/400.jpeg,1
401,Morty Jr's interviewer,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/401.jpeg,1
402,Guy from The Bachelor,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/402.jpeg,1
403,Corn detective,Dead,Humanoid,Corn-person,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/403.jpeg,1
404,Michael Jackson,Alive,Humanoid,Phone-Person,Male,Earth (Phone Dimension),Earth (Phone Dimension),https://rickandmortyapi.com/api/character/avatar/404.jpeg,1
405,Trunkphobic suspenders guy,Alive,Human,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/405.jpeg,4
406,Spiderweb teddy bear,Alive,Animal,Teddy Bear,unknown,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/406.jpeg,1
407,Regular Tyrion Lannister,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/407.jpeg,1
408,Quick Mystery Presenter,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/408.jpeg,1
409,Mr. Sneezy,Alive,Human,Little Human,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/409.jpeg,1
410,Two Brothers,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/410.jpeg,1
411,Alien Mexican Armada,unknown,Alien,Mexican,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/411.jpeg,1
412,Giant Cat Monster,unknown,Animal,Giant Cat Monster,unknown,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/412.jpeg,1
413,Old Women,unknown,Human,Old Amazons,Female,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/413.jpeg,1
414,Trunkphobic guy,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/414.jpeg,1
415,Pro trunk people marriage guy,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/415.jpeg,1
416,Muscular Mannie,Alive,Human,Mannie,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/416.jpeg,1
417,Baby Legs Chief,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/417.jpeg,1
418,Mrs. Sullivan's Boyfriend,Alive,Human,Necrophiliac,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/418.jpeg,1
419,Plutonian Hostess,Alive,Alien,Plutonian,Female,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/419.jpeg,1
420,Plutonian Host,Alive,Alien,Plutonian,Male,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/420.jpeg,1
421,Rich Plutonian,Alive,Alien,Plutonian,Female,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/421.jpeg,1
422,Rich Plutonian,Alive,Alien,Plutonian,Male,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/422.jpeg,1
423,Synthetic Laser Eels,Alive,Animal,Eel,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/423.jpeg,1
424,Pizza-person,Alive,Humanoid,Pizza,Male,Earth (Pizza Dimension),Earth (Pizza Dimension),https://rickandmortyapi.com/api/character/avatar/424.jpeg,1
425,Pizza-person,Alive,Humanoid,Pizza,Male,Earth (Pizza Dimension),Earth (Pizza Dimension),https://rickandmortyapi.com/api/character/avatar/425.jpeg,1
426,Greasy Grandma,Alive,Human,Grandma,Female,Greasy Grandma World,Greasy Grandma World,https://rickandmortyapi.com/api/character/avatar/426.jpeg,1
427,Phone-person,Alive,Humanoid,Phone,Male,Earth (Phone Dimension),Earth (Phone Dimension),https://rickandmortyapi.com/api/character/avatar/427.jpeg,1
428,Phone-person,Alive,Humanoid,Phone,Male,Earth (Phone Dimension),Earth (Phone Dimension),https://rickandmortyapi.com/api/character/avatar/428.jpeg,1
429,Chair-person,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension),https://rickandmortyapi.com/api/character/avatar/429.jpeg,1
430,Chair-person,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension),https://rickandmortyapi.com/api/character/avatar/430.jpeg,1
431,Chair-homeless,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension),https://rickandmortyapi.com/api/character/avatar/431.jpeg,1
432,Chair-waiter,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension),https://rickandmortyapi.com/api/character/avatar/432.jpeg,1
433,Doopidoo,Alive,Animal,Doopidoo,unknown,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/433.jpeg,1
434,Super Weird Rick,unknown,Human,,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/434.jpeg,1
435,Pripudlian,Alive,Alien,Pripudlian,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/435.jpeg,4
436,Giant Testicle Monster,Alive,Alien,,unknown,Testicle Monster Dimension,Testicle Monster Dimension,https://rickandmortyapi.com/api/character/avatar/436.jpeg,2
437,Michael,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/437.jpeg,1
438,Michael's Lawyer,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/438.jpeg,1
439,Veterinary,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/439.jpeg,1
440,Veterinary Nurse,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/440.jpeg,1
441,Bearded Jerry,Alive,Human,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/441.jpeg,1
442,Shaved Head Jerry,Alive,Human,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/442.jpeg,1
443,Tank Top Jerry,Alive,Human,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/443.jpeg,1
444,Pink Polo Shirt Jerry,Alive,Human,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/444.jpeg,1
445,Jerryboree Keeper,Alive,Alien,,Female,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/445.jpeg,1
446,Jerryboree Receptionist,Alive,Alien,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/446.jpeg,1
447,Anchor Gear,Alive,Alien,Gear-Person,Male,Gear World,Gear World,https://rickandmortyapi.com/api/character/avatar/447.jpeg,1
448,Gear Cop,Dead,Alien,Gear-Person,Male,Gear World,Gear World,https://rickandmortyapi.com/api/character/avatar/448.jpeg,1
449,Roy's Mum,Alive,Human,Game,Female,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmortyapi.com/api/character/avatar/449.jpeg,1
450,Roy's Wife,Alive,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmortyapi.com/api/character/avatar/450.jpeg,1
451,Roy's Son,Alive,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmortyapi.com/api/character/avatar/451.jpeg,1
452,Simon,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/452.jpeg,1
453,Vampire Master's Assistant,Alive,Mythological Creature,Vampire,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/453.jpeg,1
454,Arbolian Mentirososian,Alive,Alien,,unknown,Árboles Mentirosos,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/454.jpeg,3
455,St. Gloopy Noops Nurse,Alive,Alien,,Female,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/455.jpeg,1
456,Nano Doctor,Alive,Alien,Nano Alien,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/456.jpeg,1
457,Funny Songs Presenter,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/457.jpeg,1
458,Tax Attorney,unknown,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/458.jpeg,1
459,Butthole Ice Cream Guy,Alive,Alien,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/459.jpeg,1
460,Traflorkian Journalist,Alive,Alien,Traflorkian,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/460.jpeg,1
461,Communication's Responsible Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/461.jpeg,1
462,Teleportation's Responsible Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/462.jpeg,1
463,SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/463.jpeg,1
464,SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/464.jpeg,1
465,SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/465.jpeg,1
466,SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/466.jpeg,1
467,Morphizer-XE Customer Support,Alive,Alien,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/467.jpeg,1
468,Morphizer-XE Customer Support,Alive,Alien,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/468.jpeg,1
469,Morphizer-XE Customer Support,unknown,Alien,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/469.jpeg,1
470,Alien Spa Employee,Alive,Alien,,Male,unknown,Alien Day Spa,https://rickandmortyapi.com/api/character/avatar/470.jpeg,1
471,Little Voltron,Alive,Robot,,Genderless,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/471.jpeg,1
472,Baby Rick,Alive,Human,Clone,Male,Citadel of Ricks,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/472.jpeg,1
473,Bartender Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/473.jpeg,1
474,Dancer Cowboy Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/474.jpeg,1
475,Dancer Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/475.jpeg,1
476,Flower Morty,Alive,Human,Human with a flower in his head,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/476.jpeg,1
477,Hairdresser Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/477.jpeg,1
478,Journalist Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/478.jpeg,1
479,Private Sector Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/479.jpeg,1
480,Purple Morty,Alive,Alien,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/480.jpeg,1
481,Retired General Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/481.jpeg,1
482,Secret Service Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/482.jpeg,1
483,Steve Jobs Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/483.jpeg,1
484,Sheik Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/484.jpeg,1
485,Modern Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/485.jpeg,1
486,Tan Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/486.jpeg,1
487,Visor Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/487.jpeg,1
488,Colonial Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/488.jpeg,1
489,P-Coat Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/489.jpeg,1
490,Chang,Alive,Human,,Male,unknown,The Menagerie,https://rickandmortyapi.com/api/character/avatar/490.jpeg,1
491,Dr. Eleanor Arroway,Alive,Human,,Female,unknown,The Menagerie,https://rickandmortyapi.com/api/character/avatar/491.jpeg,1
492,Varrix,Alive,Alien,,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/492.jpeg,1
493,Secretary of the Interior,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/493.jpeg,1
494,Crystal Poacher,Dead,Alien,,Male,unknown,Forbodulon Prime,https://rickandmortyapi.com/api/character/avatar/494.jpeg,1
495,Crystal Poacher,Dead,Alien,,Male,unknown,Forbodulon Prime,https://rickandmortyapi.com/api/character/avatar/495.jpeg,1
496,Crystal Poacher,Dead,Alien,,Male,unknown,Forbodulon Prime,https://rickandmortyapi.com/api/character/avatar/496.jpeg,1
497,Hologram Rick,Dead,Humanoid,Hologram,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/497.jpeg,1
498,Fascist Rick,Dead,Human,,Male,Earth (Fascist Dimension),Earth (Fascist Dimension),https://rickandmortyapi.com/api/character/avatar/498.jpeg,1
499,Fascist Morty,Dead,Human,,Male,Earth (Fascist Dimension),Earth (Fascist Dimension),https://rickandmortyapi.com/api/character/avatar/499.jpeg,1
500,Fascist Mr. President,Alive,Human,,Male,Earth (Fascist Dimension),Earth (Fascist Dimension),https://rickandmortyapi.com/api/character/avatar/500.jpeg,1
501,Fascist Rick’s Clone,Dead,Human,Clone,Male,Earth (Fascist Dimension),Earth (Fascist Dimension),https://rickandmortyapi.com/api/character/avatar/501.jpeg,1
502,Revolio Clockberg Jr.,Dead,Alien,Gear-Person,Male,Earth (Fascist Dimension),Earth (Fascist Dimension),https://rickandmortyapi.com/api/character/avatar/502.jpeg,1
503,Fascist Shrimp Rick,Alive,Animal,Shrimp,Male,Earth (Fascist Shrimp Dimension),Earth (Fascist Shrimp Dimension),https://rickandmortyapi.com/api/character/avatar/503.jpeg,1
504,Fascist Shrimp Rick’s Clone,Dead,Animal,Shrimp,Male,Earth (Fascist Shrimp Dimension),Earth (Fascist Shrimp Dimension),https://rickandmortyapi.com/api/character/avatar/504.jpeg,1
505,Fascist Shrimp Morty,Alive,Animal,Shrimp,Male,Earth (Fascist Shrimp Dimension),Earth (Fascist Shrimp Dimension),https://rickandmortyapi.com/api/character/avatar/505.jpeg,1
506,Fascist Shrimp SS,Alive,Animal,Shrimp,Male,Earth (Fascist Shrimp Dimension),Earth (Fascist Shrimp Dimension),https://rickandmortyapi.com/api/character/avatar/506.jpeg,1
507,Fascist Teddy Bear Rick,Alive,Animal,Teddy Bear,Male,Earth (Fascist Teddy Bear Dimension),Earth (Fascist Teddy Bear Dimension),https://rickandmortyapi.com/api/character/avatar/507.jpeg,1
508,Fascist Teddy Bear Rick’s Clone,Dead,Animal,Teddy Bear,Male,Earth (Fascist Teddy Bear Dimension),Earth (Fascist Teddy Bear Dimension),https://rickandmortyapi.com/api/character/avatar/508.jpeg,1
509,Bully,unknown,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/509.jpeg,1
510,Anchorman,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/510.jpeg,1
511,Anchorwoman,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/511.jpeg,1
512,Morty’s Lawyer,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/512.jpeg,1
513,Judge,Dead,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/513.jpeg,1
514,Public Opinion Judge,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/514.jpeg,1
515,Caterpillar Mr. Goldenfold,Dead,Animal,Caterpillar,Male,Earth (Wasp Dimension),Earth (Wasp Dimension),https://rickandmortyapi.com/api/character/avatar/515.jpeg,1
516,Wasp Rick,Alive,Animal,Wasp,Male,Earth (Wasp Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/516.jpeg,1
517,Wasp Rick’s Clone,unknown,Animal,Wasp,Male,Earth (Wasp Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/517.jpeg,1
518,Wasp Morty,Alive,Animal,Wasp,Male,Earth (Wasp Dimension),Earth (Wasp Dimension),https://rickandmortyapi.com/api/character/avatar/518.jpeg,1
519,Wasp Summer,Alive,Animal,Wasp,Female,Earth (Wasp Dimension),Earth (Wasp Dimension),https://rickandmortyapi.com/api/character/avatar/519.jpeg,1
520,Wasp Jerry,Alive,Animal,Wasp,Male,Earth (Wasp Dimension),Earth (Wasp Dimension),https://rickandmortyapi.com/api/character/avatar/520.jpeg,1
521,Wasp Beth,Alive,Animal,Wasp,Female,Earth (Wasp Dimension),Earth (Wasp Dimension),https://rickandmortyapi.com/api/character/avatar/521.jpeg,1
522,Caterpillar Mr. Goldenfold’s Larvae,Dead,Animal,Caterpillar,unknown,Earth (Wasp Dimension),Earth (Wasp Dimension),https://rickandmortyapi.com/api/character/avatar/522.jpeg,1
523,Boglin,unknown,unknown,Toy,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/523.jpeg,1
524,Kirkland Brand Mr. Meeseeks,unknown,Humanoid,Meeseeks,Male,Mr. Meeseeks Box,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/524.jpeg,1
525,Glootie,Alive,Alien,Monogatron,Male,unknown,Monogatron Mothership,https://rickandmortyapi.com/api/character/avatar/525.jpeg,1
526,Danny Publitz,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/526.jpeg,1
527,Mothership Intern,Alive,Alien,Monogatron,Male,unknown,Monogatron Mothership,https://rickandmortyapi.com/api/character/avatar/527.jpeg,1
528,Monogatron Leader,Alive,Alien,Monogatron,Male,unknown,Monogatron Mothership,https://rickandmortyapi.com/api/character/avatar/528.jpeg,1
529,Lizard,Dead,Alien,Lizard,Male,Midland Quasar,Midland Quasar,https://rickandmortyapi.com/api/character/avatar/529.jpeg,1
530,Deliverance,Dead,Robot,,Genderless,Midland Quasar,Midland Quasar,https://rickandmortyapi.com/api/character/avatar/530.jpeg,1
531,Tony,Dead,Alien,,Male,unknown,Mount Space Everest,https://rickandmortyapi.com/api/character/avatar/531.jpeg,1
532,Tony’s Wife,Dead,Alien,,Female,Globaflyn,Globaflyn,https://rickandmortyapi.com/api/character/avatar/532.jpeg,1
533,Monogatron Queen,Alive,Alien,Monogatron,Female,unknown,Monogatron Mothership,https://rickandmortyapi.com/api/character/avatar/533.jpeg,1
534,Tony's Dad,Alive,Alien,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/534.jpeg,1
535,Jeff,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/535.jpeg,1
536,Josiah,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/536.jpeg,1
537,Maggie,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/537.jpeg,1
538,Priest Witherspoon,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/538.jpeg,1
539,Richard,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/539.jpeg,1
540,Running Bird,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/540.jpeg,1
541,Secretary at Tony's,Alive,Alien,,Female,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/541.jpeg,1
542,Mountain Sweat Jerry,Alive,Human,,Male,Globaflyn,Globaflyn,https://rickandmortyapi.com/api/character/avatar/542.jpeg,1
543,Vermigurber,Alive,Alien,Fly,Male,unknown,Gorgon Quadrant,https://rickandmortyapi.com/api/character/avatar/543.jpeg,1
544,Miles Knightly,Dead,Alien,,Male,unknown,Heist-Con,https://rickandmortyapi.com/api/character/avatar/544.jpeg,1
545,Heist-Con Receptionist,Alive,Alien,,Female,unknown,Heist-Con,https://rickandmortyapi.com/api/character/avatar/545.jpeg,1
546,Angie Flint,Alive,Human,Cyborg,Female,unknown,Heist-Con,https://rickandmortyapi.com/api/character/avatar/546.jpeg,1
547,Glar,Alive,Alien,,Male,unknown,Heist-Con,https://rickandmortyapi.com/api/character/avatar/547.jpeg,1
548,Truckula,Alive,Mythological Creature,Vampire,Male,unknown,Heist-Con,https://rickandmortyapi.com/api/character/avatar/548.jpeg,1
549,Snake Arms,Alive,Alien,,Male,unknown,Heist-Con,https://rickandmortyapi.com/api/character/avatar/549.jpeg,1
550,Double Microwawe,Alive,Humanoid,Cyborg,Male,unknown,Heist-Con,https://rickandmortyapi.com/api/character/avatar/550.jpeg,1
551,Monitor Lord,Alive,Alien,,Male,unknown,Heist-Con,https://rickandmortyapi.com/api/character/avatar/551.jpeg,1
552,Key Catcher,Alive,Alien,,Female,unknown,Heist-Con,https://rickandmortyapi.com/api/character/avatar/552.jpeg,1
553,The Shapeshiftress,Alive,Alien,Shapeshifter,Female,unknown,Heist-Con,https://rickandmortyapi.com/api/character/avatar/553.jpeg,1
554,Heistotron,Dead,Robot,,Genderless,Earth (Replacement Dimension),Heistotron Base,https://rickandmortyapi.com/api/character/avatar/554.jpeg,1
555,Randotron,Dead,Robot,,Genderless,Earth (Replacement Dimension),Heistotron Base,https://rickandmortyapi.com/api/character/avatar/555.jpeg,1
556,Hephaestus,Alive,Mythological Creature,God,Male,Mount Olympus,Heistotron Base,https://rickandmortyapi.com/api/character/avatar/556.jpeg,1
557,Ventriloquiver,Alive,Humanoid,Dummy,Female,Plitzville Montana,Heistotron Base,https://rickandmortyapi.com/api/character/avatar/557.jpeg,1
558,Elon Tusk,Alive,Human,Human with tusks,Male,Earth (Tusk Dimension),Heistotron Base,https://rickandmortyapi.com/api/character/avatar/558.jpeg,1
559,Gramuflackian Anchorman,Dead,Alien,Gramuflackian,Male,Gramuflack,Gramuflack,https://rickandmortyapi.com/api/character/avatar/559.jpeg,1
560,Gramuflackian General,Dead,Alien,Gramuflackian,Male,Gramuflack,Gramuflack,https://rickandmortyapi.com/api/character/avatar/560.jpeg,1
561,Netflix Executive,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/561.jpeg,1
562,Balthromaw,Alive,Mythological Creature,Dragon,Male,Draygon,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/562.jpeg,1
563,The Wizard,Dead,Human,,Male,Draygon,Draygon,https://rickandmortyapi.com/api/character/avatar/563.jpeg,1
564,Talking Cat,Alive,Animal,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/564.jpeg,1
565,Debrah,Alive,Mythological Creature,Dragon,Male,Draygon,Draygon,https://rickandmortyapi.com/api/character/avatar/565.jpeg,1
566,Debrah’s Partner,Alive,Mythological Creature,Dragon,Male,Draygon,Draygon,https://rickandmortyapi.com/api/character/avatar/566.jpeg,1
567,Michael,Alive,Mythological Creature,Dragon,Male,Draygon,Draygon,https://rickandmortyapi.com/api/character/avatar/567.jpeg,1
568,Slut Dragon,Alive,Mythological Creature,Dragon,Male,Draygon,Draygon,https://rickandmortyapi.com/api/character/avatar/568.jpeg,1
569,Shadow Jacker,Alive,Mythological Creature,Dragon,Male,Draygon,Draygon,https://rickandmortyapi.com/api/character/avatar/569.jpeg,1
570,Chachi,Dead,Alien,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/570.jpeg,1
571,Slippy,Alive,Animal,Snake,Female,Earth (Replacement Dimension),Snake Planet,https://rickandmortyapi.com/api/character/avatar/571.jpeg,1
572,Robot Snake,unknown,Robot,Snake,Genderless,Snake Planet,Snake Planet,https://rickandmortyapi.com/api/character/avatar/572.jpeg,1
573,Snake Hitler,Dead,Animal,Snake,Male,Snake Planet,Snake Planet,https://rickandmortyapi.com/api/character/avatar/573.jpeg,1
574,Snake Lincoln,Dead,Animal,Snake,Male,Snake Planet,Snake Planet,https://rickandmortyapi.com/api/character/avatar/574.jpeg,1
